"Riga","Colonna","Colonna_Nome","Valore_Imputato"
19,66,"X0.0...68",43554.9864757722
21,66,"X0.0...68",41092.1889504344
22,66,"X0.0...68",40198.8686467635
23,66,"X0.0...68",33517.3111464309
24,66,"X0.0...68",44490.8948286125
25,66,"X0.0...68",29363.5883861721
27,66,"X0.0...68",42016.3338522171
29,66,"X0.0...68",34830.4184193705
1,67,"X1615000.0",93892.8871713616
3,67,"X1615000.0",93386.3590103888
5,67,"X1615000.0",102791.568127562
6,67,"X1615000.0",97531.480199872
8,67,"X1615000.0",102334.507564521
9,67,"X1615000.0",96225.4181320359
10,67,"X1615000.0",100140.700808461
14,67,"X1615000.0",71767.4101303707
15,67,"X1615000.0",102644.312580754
18,67,"X1615000.0",77356.3566931912
19,67,"X1615000.0",97306.0455273415
20,67,"X1615000.0",96687.7379570435
21,67,"X1615000.0",100352.635954779
22,67,"X1615000.0",101449.736803839
23,67,"X1615000.0",71291.0663538009
25,67,"X1615000.0",42489.0817900712
27,67,"X1615000.0",98624.2563363735
29,67,"X1615000.0",96953.2591052987
1,68,"X126500.0",19029.4930587831
7,68,"X126500.0",19020.3768849366
8,68,"X126500.0",18958.780265098
9,68,"X126500.0",13726.9042449724
13,68,"X126500.0",17809.4411401109
15,68,"X126500.0",19082.4714322319
16,68,"X126500.0",19042.1877091772
21,68,"X126500.0",18262.9931675798
22,68,"X126500.0",18917.1670951624
23,68,"X126500.0",12602.4620695003
25,68,"X126500.0",8761.83130353895
27,68,"X126500.0",19101.5507360614
28,68,"X126500.0",19060.0178364744
29,68,"X126500.0",13035.5781361485
12,69,"X1088800.0",67387.2187050697
25,69,"X1088800.0",67513.6412274843
8,70,"X1377700.0",81277.6170904788
13,70,"X1377700.0",80848.8953335852
25,70,"X1377700.0",80459.1056908223
1,71,"X0.0...74",27448.5457112244
2,71,"X0.0...74",27665.3988912452
3,71,"X0.0...74",27392.8540456996
5,71,"X0.0...74",26086.3994697624
8,71,"X0.0...74",26373.5383473673
11,71,"X0.0...74",27244.0936434943
12,71,"X0.0...74",26807.9044804798
13,71,"X0.0...74",26765.5267776256
18,71,"X0.0...74",27497.4215759531
21,71,"X0.0...74",26957.186542085
22,71,"X0.0...74",27519.6947957649
23,71,"X0.0...74",19856.4556042025
25,71,"X0.0...74",23225.727179409
29,71,"X0.0...74",26782.8136132074
1,73,"X155140.0",43796.4819266519
2,73,"X155140.0",44818.8658530318
4,73,"X155140.0",43763.6363677674
8,73,"X155140.0",42509.6152268685
9,73,"X155140.0",42108.8362198905
12,73,"X155140.0",39116.5170695745
13,73,"X155140.0",43054.5620916744
14,73,"X155140.0",43722.6401314389
16,73,"X155140.0",43751.1218402312
